Timestamp, Power
2012-12-06 00:00,79.9
2012-12-06 00:01,79.2
2012-12-06 00:02,78.8
2012-12-06 00:03,78.4
2012-12-06 00:04,79.2
2012-12-06 00:05,26.1
2012-12-06 00:06,25.7
2012-12-06 00:07,26.7
2012-12-06 00:08,25.8
2012-12-06 00:09,26.3
2012-12-06 00:10,26.0
2012-12-06 00:11,26.2
2012-12-06 00:12,40.9
2012-12-06 00:13,25.4
2012-12-06 00:14,25.9
2012-12-06 00:15,25.3
2012-12-06 00:16,26.1
2012-12-06 00:17,25.5
2012-12-06 00:18,25.8
2012-12-06 00:19,26.0
2012-12-06 00:20,32.2
2012-12-06 00:21,86.0
2012-12-06 00:22,92.3
2012-12-06 00:23,95.7
2012-12-06 00:24,96.6
2012-12-06 00:25,95.5
2012-12-06 00:26,95.5
2012-12-06 00:27,151.3
2012-12-06 00:28,80.5
2012-12-06 00:29,80.5
2012-12-06 00:30,80.5
2012-12-06 00:31,80.5
2012-12-06 00:32,94.5
2012-12-06 00:33,94.5
2012-12-06 00:34,79.5
2012-12-06 00:35,78.6
2012-12-06 00:36,82.8
2012-12-06 00:37,78.6
2012-12-06 00:38,25.8
2012-12-06 00:39,26.4
2012-12-06 00:40,26.4
2012-12-06 00:41,26.3
2012-12-06 00:42,25.6
2012-12-06 00:43,25.7
2012-12-06 00:44,26.3
2012-12-06 00:45,26.2
2012-12-06 00:46,25.9
2012-12-06 00:47,25.8
2012-12-06 00:48,25.7
2012-12-06 00:49,29.9
2012-12-06 00:50,25.8
2012-12-06 00:51,40.6
2012-12-06 00:52,25.6
2012-12-06 00:53,29.6
2012-12-06 00:54,26.2
2012-12-06 00:55,38.5
2012-12-06 00:56,26.8
2012-12-06 00:57,26.7
2012-12-06 00:58,84.1
2012-12-06 00:59,82.4
2012-12-06 01:00,82.7
2012-12-06 01:01,81.2
2012-12-06 01:02,96.6
2012-12-06 01:03,80.2
2012-12-06 01:04,85.4
2012-12-06 01:05,80.2
2012-12-06 01:06,82.6
2012-12-06 01:07,78.5
2012-12-06 01:08,147.7
2012-12-06 01:09,89.7
2012-12-06 01:10,95.3
2012-12-06 01:11,96.7
2012-12-06 01:12,96.1
2012-12-06 01:13,94.6
2012-12-06 01:14,94.2
2012-12-06 01:15,94.8
2012-12-06 01:16,27.5
2012-12-06 01:17,38.1
2012-12-06 01:18,38.7
2012-12-06 01:19,25.8
2012-12-06 01:20,25.7
2012-12-06 01:21,26.4
2012-12-06 01:22,26.0
2012-12-06 01:23,26.1
2012-12-06 01:24,25.9
2012-12-06 01:25,26.4
2012-12-06 01:26,26.1
2012-12-06 01:27,25.8
2012-12-06 01:28,26.1
2012-12-06 01:29,26.0
2012-12-06 01:30,82.2
2012-12-06 01:31,83.7
2012-12-06 01:32,82.9
2012-12-06 01:33,80.7
2012-12-06 01:34,81.3
2012-12-06 01:35,82.4
2012-12-06 01:36,79.6
2012-12-06 01:37,79.3
2012-12-06 01:38,83.4
2012-12-06 01:39,91.9
2012-12-06 01:40,78.6
2012-12-06 01:41,27.2
2012-12-06 01:42,40.5
2012-12-06 01:43,29.4
2012-12-06 01:44,26.4
2012-12-06 01:45,26.2
2012-12-06 01:46,25.5
2012-12-06 01:47,40.2
2012-12-06 01:48,25.4
2012-12-06 01:49,26.0
2012-12-06 01:50,26.1
2012-12-06 01:51,25.7
2012-12-06 01:52,25.7
2012-12-06 01:53,26.4
2012-12-06 01:54,36.3
2012-12-06 01:55,25.8
2012-12-06 01:56,102.3
2012-12-06 01:57,95.5
2012-12-06 01:58,94.2
2012-12-06 01:59,96.3
2012-12-06 02:00,95.4
2012-12-06 02:01,94.8
2012-12-06 02:02,152.0
2012-12-06 02:03,151.1
2012-12-06 02:04,81.9
2012-12-06 02:05,80.7
2012-12-06 02:06,80.5
2012-12-06 02:07,80.2
2012-12-06 02:08,79.3
2012-12-06 02:09,79.2
2012-12-06 02:10,79.9
2012-12-06 02:11,79.0
2012-12-06 02:12,77.9
2012-12-06 02:13,25.8
2012-12-06 02:14,39.8
2012-12-06 02:15,26.1
2012-12-06 02:16,25.9
2012-12-06 02:17,40.2
2012-12-06 02:18,28.5
2012-12-06 02:19,29.7
2012-12-06 02:20,30.2
2012-12-06 02:21,39.2
2012-12-06 02:22,26.2
2012-12-06 02:23,25.7
2012-12-06 02:24,39.9
2012-12-06 02:25,25.8
2012-12-06 02:26,25.7
2012-12-06 02:27,26.5
2012-12-06 02:28,28.7
2012-12-06 02:29,39.7
2012-12-06 02:30,26.9
2012-12-06 02:31,25.9
2012-12-06 02:32,26.2
2012-12-06 02:33,26.4
2012-12-06 02:34,25.9
2012-12-06 02:35,82.4
2012-12-06 02:36,83.5
2012-12-06 02:37,82.1
2012-12-06 02:38,80.6
2012-12-06 02:39,80.1
2012-12-06 02:40,80.2
2012-12-06 02:41,79.8
2012-12-06 02:42,79.3
2012-12-06 02:43,78.6
2012-12-06 02:44,78.8
2012-12-06 02:45,77.9
2012-12-06 02:46,86.5
2012-12-06 02:47,104.0
2012-12-06 02:48,94.9
2012-12-06 02:49,95.9
2012-12-06 02:50,95.8
2012-12-06 02:51,95.3
2012-12-06 02:52,94.4
2012-12-06 02:53,92.9
2012-12-06 02:54,26.2
2012-12-06 02:55,25.7
2012-12-06 02:56,26.1
2012-12-06 02:57,26.0
2012-12-06 02:58,26.0
2012-12-06 02:59,26.1
2012-12-06 03:00,25.8
2012-12-06 03:01,26.3
2012-12-06 03:02,26.4
2012-12-06 03:03,26.0
2012-12-06 03:04,25.5
2012-12-06 03:05,25.5
2012-12-06 03:06,25.6
2012-12-06 03:07,80.7
2012-12-06 03:08,97.1
2012-12-06 03:09,82.2
2012-12-06 03:10,81.8
2012-12-06 03:11,80.4
2012-12-06 03:12,82.9
2012-12-06 03:13,78.7
2012-12-06 03:14,78.4
2012-12-06 03:15,83.8
2012-12-06 03:16,78.1
2012-12-06 03:17,78.0
2012-12-06 03:18,25.6
2012-12-06 03:19,25.7
2012-12-06 03:20,26.3
2012-12-06 03:21,26.3
2012-12-06 03:22,30.4
2012-12-06 03:23,26.8
2012-12-06 03:24,26.1
2012-12-06 03:25,26.3
2012-12-06 03:26,25.8
2012-12-06 03:27,26.2
2012-12-06 03:28,27.1
2012-12-06 03:29,38.9
2012-12-06 03:30,26.6
2012-12-06 03:31,26.1
2012-12-06 03:32,41.0
2012-12-06 03:33,25.6
2012-12-06 03:34,25.5
2012-12-06 03:35,106.4
2012-12-06 03:36,86.9
2012-12-06 03:37,94.3
2012-12-06 03:38,95.8
2012-12-06 03:39,152.7
2012-12-06 03:40,152.1
2012-12-06 03:41,149.9
2012-12-06 03:42,148.1
2012-12-06 03:43,79.5
2012-12-06 03:44,79.7
2012-12-06 03:45,80.0
2012-12-06 03:46,80.7
2012-12-06 03:47,78.3
2012-12-06 03:48,78.0
2012-12-06 03:49,77.5
2012-12-06 03:50,25.7
2012-12-06 03:51,26.8
2012-12-06 03:52,31.0
2012-12-06 03:53,25.8
2012-12-06 03:54,25.6
2012-12-06 03:55,29.5
2012-12-06 03:56,30.8
2012-12-06 03:57,29.4
2012-12-06 03:58,30.0
2012-12-06 03:59,26.0
2012-12-06 04:00,39.2
2012-12-06 04:01,41.0
2012-12-06 04:02,26.4
2012-12-06 04:03,25.9
2012-12-06 04:04,25.6
2012-12-06 04:05,26.4
2012-12-06 04:06,25.8
2012-12-06 04:07,42.2
2012-12-06 04:08,25.9
2012-12-06 04:09,26.5
2012-12-06 04:10,25.7
2012-12-06 04:11,82.5
2012-12-06 04:12,83.3
2012-12-06 04:13,81.5
2012-12-06 04:14,83.0
2012-12-06 04:15,80.0
2012-12-06 04:16,79.4
