1,222.3,-73
2,230.7,-74.53
3,232.5,-74.97
4,228,-74.05
5,226.9,-73.82
6,222.1,-73.25
7,124.3,-58.23
8,122.9,-57.99
9,123.7,-58.31
10,222.5,-12.34
11,239.7,7.53
12,239.8,7.88
13,243,9.06
14,244.6,7.36
15,244.7,7.27
16,244.8,6.38
17,240.4,7.25
18,239.1,6.84
19,238.7,7.03
20,238.1,7.71
21,238.9,9.63
22,238.5,9.63
23,236.5,8.51
24,236.1,8.23
25,235.1,7.79
26,227.4,3.19
27,123.5,-57.89
28,123.6,-57.8
29,123.7,-57.82
30,123.7,-57.77
31,123.4,-57.8
32,121.9,-57.58
33,121.6,-57.68
34,121.6,-57.71
35,120.7,-57.68
36,117.8,-55.39
37,95.2,-38.69
38,83.8,-35.99
39,83,-35.79
40,82.5,-35.76
41,82.8,-35.71
42,83.5,-35.68
43,84.3,-36
44,83.8,-35.7
45,84.7,-35.71
46,84.1,-35.51
47,84,-35.58
48,83.6,-35.71
49,83.2,-35.61
50,83.4,-35.71
51,218,30.47
52,192.9,31.37
53,196.8,30.67
54,199.1,30.05
55,200.9,29.54
56,200.7,29.07
57,200.4,29.57
58,310.7,0.48
59,342.8,-6.58
60,341.8,-6.41
61,339,-7.38
62,239.5,7.58
63,237.4,8.09
64,236.1,7.9
65,190.3,27.05
66,154.6,40.85
67,100.2,8.89
68,43.3,-24.61
69,43,-24.81
70,42.8,-24.97
71,42.8,-24.87
72,42.7,-24.98
73,43.1,-24.71
74,43.4,-24.55
75,43.3,-24.62
76,43.3,-24.65
77,43.2,-24.53
78,43.2,-24.48
79,43.1,-24.69
80,43.1,-24.52
81,43.1,-24.62
82,42.8,-24.85
83,42.7,-24.86
84,42.6,-25.02
85,42.6,-25
86,42.5,-25.14
87,42.6,-24.99
88,42.6,-25.13
89,42.9,-25.02
90,43.2,-24.83
91,110.6,4.71
92,159.2,42.86
93,154.8,43.14
94,158.5,42.81
95,160.6,43.07
96,161.7,42.74
97,161.6,42.25
98,160.9,42.14
99,160.5,42.14
100,160.1,42.6
101,159.8,42.87
102,158.4,42.67
103,158.4,43.31
104,157.8,43.42
105,157.1,43.28
106,156.4,43.31
107,155.9,43.28
108,58.5,-15.27
109,43.4,-24.27
110,43.4,-24.26
111,43.4,-24.28
112,43.3,-24.18
113,43.4,-24.1
114,43.5,-24.17
115,43.4,-24.34
116,43.4,-24.18
